r, g, b, c
76, 272, 48, -1
68, 272, 48, -1
76, 264, 48, -1
75, 258, 48, -1
76, 273, 48, -1
76, 273, 48, -1
76, 273, 48, -1
76, 274, 48, -1
76, 266, 48, -1
72, 281, 43, -1
78, 276, 49, -1
78, 267, 49, -1
78, 274, 49, -1
78, 281, 49, -1
78, 282, 49, -1
78, 282, 50, -1
78, 276, 50, -1
78, 282, 49, -1
126, 67, 23, 0
127, 60, 23, 0
121, 68, 22, 0
127, 68, 23, 0
127, 64, 23, 0
119, 68, 22, 0
127, 68, 22, 0
121, 67, 22, 0
126, 67, 22, 0
122, 67, 22, 0
122, 59, 22, 0
122, 67, 22, 0
116, 67, 22, 0
114, 67, 22, 0
122, 67, 22, 0
122, 67, 22, 0
122, 67, 22, 0
122, 67, 22, 0
157, 154, 39, 1
157, 154, 39, 1
151, 154, 39, 1
158, 148, 39, 1
158, 154, 39, 1
158, 155, 39, 1
151, 148, 39, 1
158, 154, 39, 1
157, 155, 39, 1
158, 155, 40, 1
152, 155, 39, 1
159, 149, 39, 1
158, 156, 39, 1
159, 156, 39, 1
159, 156, 39, 1
159, 156, 39, 1
158, 156, 39, 1
153, 156, 39, 1
